complaint,category
complaint,category
Continuous power outage affecting businesses in commercial area,Electrical
Street lights not functioning near central market road,Electrical
Transformer damaged after heavy rainfall in residential colony,Electrical
Frequent voltage fluctuations damaging household appliances,Electrical
Electric pole leaning dangerously near government school,Electrical
Underground power cable damaged during road construction,Electrical
Power supply interruption affecting water pumps in locality,Electrical
Broken street light causing visibility issues at night,Electrical
Electricity failure reported near bus terminal area,Electrical
High voltage fluctuations observed in industrial zone,Electrical

Water leakage from underground pipeline near municipal office,Water Supply
No drinking water supply for three consecutive days,Water Supply
Broken water pipe causing wastage near main junction,Water Supply
Irregular water supply affecting residential apartments,Water Supply
Contaminated drinking water reported in colony area,Water Supply
Water overflow from overhead tank near public park,Water Supply
Low water pressure experienced in residential locality,Water Supply
Pipeline damage causing water accumulation on roads,Water Supply
Public tap not functioning near bus stand,Water Supply
Water supply disruption due to maintenance issues,Water Supply

Overflowing drainage causing mosquito breeding near homes,Sanitation
Garbage collection has not occurred for over a week,Sanitation
Sewage leakage reported near government hospital,Sanitation
Waste accumulation attracting stray animals in locality,Sanitation
Drain blockage causing water stagnation during rainfall,Sanitation
Open drainage emitting foul smell near residential area,Sanitation
Public dustbins overflowing near market complex,Sanitation
Improper waste disposal observed near playground,Sanitation
Mosquito infestation increasing due to stagnant water,Sanitation
Sewage water overflowing onto public roads,Sanitation

Request for installation of pedestrian crossing near school,General
Damaged road surface creating traffic issues near hospital,General
Need for additional bus stop in growing residential area,General
Traffic signal malfunction at major intersection,General
Request for speed breaker installation near school zone,General
Street signboards missing near newly developed roads,General
Stray dog menace affecting pedestrians in locality,General
Request for additional public parking facilities,General
Need for CCTV surveillance in public park area,General
Public park maintenance required due to damaged equipment,General
